Grus 23173 -4525 23114 -4351
Hercules 16146 4493 15878 4244
Hercules 16328 4631 16146 4493
Hercules 16503 2148 16365 1914
Hercules 16568 4243 16328 4631
Hercules 16688 3159 16503 2148
Hercules 16688 3159 16714 3891
Hercules 16714 3891 16568 4243
Hercules 16714 3891 17250 3681
Hercules 17005 3093 16688 3159
Hercules 17243 1438 17250 2483
Hercules 17250 2483 17005 3093
Hercules 17250 2483 17511 2611
Hercules 17250 3681 17005 3093
Hercules 17250 3681 17394 3714
Hercules 17250 3681 17658 4600
Hercules 17394 3714 17938 3725
Hercules 17511 2611 17774 2771
Hercules 17774 2771 17963 2925
Hercules 17963 2925 18124 2876
Horologium 2623 -5254 2678 -5455
Horologium 2678 -5455 3060 -5973
Horologium 2710 -5079 2623 -5254
Horologium 3060 -5973 2979 -6406
Horologium 4233 -4230 2710 -5079
Hydra 10084 -1306 9858 -1484
Hydra 10176 -1235 10084 -1306
Hydra 10435 -1683 10176 -1235
Hydra 10826 -1619 10435 -1683
Hydra 11549 -3184 10826 -1619
Hydra 11881 -3389 11549 -3184
Hydra 13314 -2316 11881 -3389
Hydra 14106 -2668 13314 -2316
Hydra 8628 570 8646 333
Hydra 8646 333 8719 339
Hydra 8719 339 8923 595
Hydra 8779 641 8628 570
Hydra 8923 595 8779 641
Hydra 9239 231 8923 595
Hydra 9460 -866 9664 -115
Hydra 9664 -115 9239 231
Hydra 9858 -1484 9460 -866
HYI 1980 -6156 430 -7724
HYI 2660 -6826 1980 -6156
HYI 3786 -7423 2660 -6826
HYI 430 -7724 3786 -7423
Indus 20626 -4728 21331 -5344
Indus 21331 -5344 20913 -5844
Indus 21331 -5344 21965 -5500
Lacerta 22349 4653 22674 4428
Lacerta 22393 5223 22521 5028
Lacerta 22408 4948 22491 4769
Lacerta 22491 4769 22349 4653
Lacerta 22521 5028 22408 4948
Lacerta 22674 4428 22266 3775
Leo 10121 1676 10333 1985
Leo 10140 1196 10121 1676
Leo 10278 2341 9880 2600
Leo 10333 1985 10278 2341
Leo 11235 2051 11236 1543
Leo 11236 1543 10140 1196
Leo 11236 1543 11818 1456
Leo 11818 1456 11235 2051
Leo 9880 2600 9764 2376
Lepus 5469 -2076 5091 -2236
Lepus 5469 -2076 5741 -2244
Lepus 5545 -1781 5214 -1619
Lepus 5545 -1781 5469 -2076
Lepus 5741 -2244 5855 -2088
Lepus 5783 -1481 5545 -1781
Lepus 5855 -2088 5545 -1781
Lepus 5939 -1416 5783 -1481
Libra 14848 -1605 15283 -938
Libra 15068 -2528 14848 -1605
Libra 15068 -2528 15616 -2813
Libra 15283 -938 15591 -1478
Libra 15591 -1478 15068 -2528
Libra 15616 -2813 15644 -2978
LeoMinor 10464 3670 10123 3525
LeoMinor 10464 3670 10888 3421
Lupus 14698 -4738 15205 -5210
Lupus 14974 -4313 14698 -4738
Lupus 15205 -5210 15378 -4468
Lupus 15356 -4064 14974 -4313
Lupus 15363 -3626 15356 -4064
Lupus 15378 -4468 15584 -4116
Lupus 15686 -4466 15584 -4116
Lupus 15850 -3363 15363 -3626
Lupus 16110 -3680 15686 -4466
Lupus 16110 -3680 15850 -3363
Lynx 6326 5901 6955 5841
Lynx 6955 5841 7444 4921
Lynx 7444 4921 8141 5150
Lynx 8141 5150 8380 4318
Lynx 9313 3680 8380 4318
Lynx 9351 3439 9313 3680
Lyra 18615 3878 18738 3966
Lyra 18615 3878 18746 3759
Lyra 18746 3759 18834 3336
Lyra 18834 3336 18981 3268
Lyra 18908 3690 18746 3759
Lyra 18981 3268 18908 3690
Mensa 4919 -7493 5045 -7131
Mensa 5531 -7633 4919 -7493
Mensa 6170 -7474 5531 -7633
Microscopium 20833 -3378 21021 -3225
Microscopium 21021 -3225 21298 -3216
Microscopium 21298 -3216 21346 -4081
Monoceros 6480 -703 6248 -626
Monoceros 7198 -50 6480 -703
Monoceros 7686 -955 7198 -50
Monoceros 8143 -298 7686 -955
Musca 11759 -6673 12293 -6796
Musca 12293 -6796 12620 -6913
Musca 12541 -7213 13038 -7155
Musca 12620 -6913 12541 -7213
Musca 12771 -6810 12620 -6913
Musca 13038 -7155 12771 -6810
Norma 16053 -4923 16330 -5015
Norma 16108 -4516 16053 -4923
Norma 16330 -5015 16453 -4755
Norma 16453 -4755 16108 -4516
Octans 14448 -8366 21691 -7738
Octans 21691 -7738 22768 -8138
Octans 22768 -8138 14448 -8366
Ophiuchus 16238 -370 16304 -469
Ophiuchus 16304 -469 16619 -1056
Ophiuchus 16514 198 16238 -370
Ophiuchus 16619 -1056 17173 -1571
Ophiuchus 16961 938 16514 198
Ophiuchus 17173 -1571 17798 270
Ophiuchus 17581 1256 16961 938
Ophiuchus 17724 456 17581 1256
Ophiuchus 17798 270 17724 456
Ophiuchus 17798 270 18009 293
Ophiuchus 18009 293 18091 250
Orion 4830 696 4843 889
Orion 4843 889 4875 1425
Orion 4853 560 4830 696
Orion 4904 243 4853 560
Orion 4975 171 4904 243
Orion 5241 -819 5796 -966
Orion 5293 -685 5241 -819
Orion 5418 635 4975 171
Orion 5418 635 5533 -29
Orion 5533 -29 5293 -685
Orion 5579 948 5418 635
Orion 5680 -195 5919 740
Orion 5796 -966 5680 -195
Orion 5919 740 5579 948
Orion 5919 740 6040 965
Orion 6040 965 6126 1476
Orion 6040 965 6198 1421
Orion 6126 1476 5906 2028
Orion 6198 1421 6064 2013
Pavo 17761 -6471 18716 -7143
Pavo 18716 -7143 20010 -7291
Pavo 20010 -7291 20750 -6620
Pavo 20144 -6618 17761 -6471
Pavo 20426 -5673 20750 -6620
Pavo 20750 -6620 20144 -6618
Pavo 20750 -6620 21439 -6536
Pegasus 140 2908 220 1518
Pegasus 220 1518 23079 1520
Pegasus 22116 2534 21743 2565
Pegasus 22170 620 21736 988
Pegasus 22691 1083 22170 620
Pegasus 22716 3021 22166 3318
Pegasus 22774 2356 22116 2534
Pegasus 22778 1216 22691 1083
Pegasus 22833 2460 22774 2356
Pegasus 23063 2808 140 2908
Pegasus 23063 2808 22716 3021
Pegasus 23063 2808 22833 2460
Pegasus 23079 1520 22778 1216
Pegasus 23079 1520 23063 2808
Perseus 2844 5589 2904 5276
Perseus 2844 5589 3080 5350
Perseus 2904 5276 3151 4961
Perseus 3080 5350 3404 4986
Perseus 3136 4094 3086 3883
Perseus 3151 4961 3158 4484
Perseus 3158 4484 3136 4094
Perseus 3404 4986 3714 4778
Perseus 3714 4778 3753 4258
